ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises
ab6b379d-fab5-4787-82bf-efdb975d6f89.Kinect,8/25/2018,0.15,0.0,1.09,0.13,0.04,0.37,0.0,0.0,0.0,0.0,0.0,0.06,1.5,0.22,0.98
7315874f-1fee-42b5-9593-049a9f59b73e.Kinect,7/17/2018,0.39,0.0,0.29,0.15,0.0,1.04,1.04,0.02,1.1,0.0,0.28,0.0,0.0,0.0,0.0
b6949140-dd91-4cca-99ae-0290b771a082.Kinect,8/23/2018,0.72,0.25,1.37,1.36,0.21,0.99,0.0,0.01,0.0,0.0,0.06,0.0,0.0,0.0,0.0
4f99adc1-d585-4c14-9f27-77b42d460865.Kinect,8/25/2018,0.09,0.01,1.02,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,1.35,1.48,0.21,1.29
97045874-70e9-4a41-b221-ef2cc2a3e646.Kinect,7/25/2018,0.75,0.11,1.01,0.25,1.3,1.35,0.03,0.0,0.03,0.02,0.02,0.0,0.0,0.0,0.0
1f485990-ef53-48d0-9919-7bd219f9fd3b.Kinect,8/22/2018,0.44,0.0,1.09,0.14,0.01,0.43,0.01,0.0,0.01,0.0,0.0,0.01,1.5,0.02,0.31
88ac8d64-e663-4423-9f85-b292792b9c0d.Kinect,9/7/2018,0.62,1.22,1.48,1.5,0.26,0.59,0.0,0.0,0.0,0.0,0.23,0.0,0.01,0.0,0.01
55464841-07de-4757-90b2-7348e0b05e01.Kinect,7/18/2018,0.8,0.0,0.02,0.0,1.27,1.5,0.17,0.0,0.0,0.03,0.06,0.0,0.0,0.01,0.0
8dbc2210-e756-4c9c-9770-5d5755ecfb04.Kinect,7/18/2018,0.69,0.0,0.11,0.3,0.22,0.6,1.15,0.0,0.01,0.05,0.0,0.0,0.02,0.0,0.0
63728795-88f9-4ef4-9ac5-e0c61611a07f.Kinect,10/22/2018,0.77,0.2,1.5,1.5,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.01,0.0
401f0078-d9f3-426b-8b29-7da162b47217.Kinect,10/3/2018,0.94,0.0,0.0,0.0,0.0,0.58,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
d7196534-f01d-4eae-8deb-b173ecb18528.Kinect,8/11/2018,0.82,0.0,0.27,0.29,1.21,1.32,0.01,0.11,0.0,0.0,0.01,0.0,0.01,0.02,0.0
