AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore,ID,Cluster,Silhouette,PC1,PC2
0.01,0.942132951,0.8770923,0.714968914,0.665231946,0.575322812,0.805834529,0.412721186,0.87422286,0.961740794,1.0,0.962219034,0.996652319,1.0,0.575322812,0.412721186,0.942132951,1.0,1.0,0.908656145,0.933046389,0.835963654,0.800095648,0.613582018,0.717838355,0.321377331,0.867527499,0.956001913,0.459110473,0.713055954,0.885222382,0.739359158,0.970349115,0.989000478,0.966523195,0.975609756,0.978957437,0.884265901,0.611669058,0.905786705,0.915829747,0.991869919,00d86aca-6cb8-4fc3-b2f7-af24502bdbdf.Kinect,1,0.1121350687583467,3.3663352728147458,7.636436101509364
0.684458089,0.354854137,0.476327116,0.547584888,0.18890483,0.461501674,0.140124342,0.574366332,0.521759923,0.414634146,0.210425634,0.635581062,0.661884266,0.178861789,0.461501674,0.574366332,0.354854137,0.210425634,0.178861789,0.471066475,0.25011956,0.861310378,0.835485414,0.286465806,0.384505022,0.345289335,0.544715447,0.971783835,0.459110473,0.818747011,0.925394548,0.441415591,0.670970827,0.985174558,0.955045433,0.881396461,0.963175514,0.871831659,0.983261597,0.554758489,0.582496413,0.807269249,00e4ce80-43fb-46a4-a999-230a2d817ef9.Kinect,0,0.0506963070791626,0.026868442985563432,0.020471707652209615
0.641329606,0.279770445,0.350071736,0.346724055,0.792922047,0.43663319,0.507412721,0.218555715,0.521759923,0.514108082,0.385939742,0.635581062,0.296987088,0.364897178,0.43663319,0.218555715,0.279770445,0.385939742,0.364897178,0.912482066,0.164992826,0.505499761,0.419894787,0.496413199,0.412242946,0.512195122,0.665710187,0.631755141,0.459110473,0.586800574,0.378287901,0.607843137,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.863223338,0.319464371,0.358680057,0.164036346,010540fd-6224-4b17-be8e-257d86307d90.Kinect,0,0.1649061885274812,-1.325806492548903,-1.6530900430035582
0.787708906,0.450502152,0.379722621,0.899569584,0.18890483,0.43806791,0.140124342,0.582974653,0.521759923,0.868005739,0.532759445,0.635581062,0.31037781,0.602582496,0.43806791,0.582974653,0.450502152,0.532759445,0.602582496,0.471066475,0.767575323,0.386417982,0.56049737,0.612625538,0.515064562,0.643232903,0.652319464,0.172166428,0.950263032,0.284552846,0.378287901,0.441415591,0.670970827,0.656623625,0.642276423,0.552845528,0.797226208,0.857484457,0.839789574,0.148732664,0.151123864,0.31468197,0120674f-eb03-405e-b83e-251b8393b361.Kinect,0,0.042835794104992,0.20907379407337318,-2.0242420530280785
0.071104383,0.279770445,0.239598278,0.346724055,0.18890483,0.539454806,0.265423242,0.601147776,0.521759923,0.806791009,0.830224773,0.635581062,0.757532281,0.903395505,0.539454806,0.601147776,0.279770445,0.830224773,0.903395505,0.471066475,0.407938785,0.540411286,0.679579149,0.667144907,0.859397418,0.995217599,0.544715447,0.445719751,0.469153515,0.829746533,0.378287901,0.547584888,0.670970827,0.656623625,0.642276423,0.904830225,0.648971784,0.891917743,0.308943089,0.246293639,0.296030607,0.466284075,01395bd6-674b-4689-b5b4-5dc7452ebbe3.Kinect,1,0.1872698573772063,3.616601596056565,-1.8483982608957679
0.6133696,0.478240077,0.399330464,0.672405548,0.18890483,0.283118125,0.140124342,0.194165471,0.521759923,0.156384505,0.210425634,0.635581062,0.483978957,0.178861789,0.283118125,0.194165471,0.478240077,0.210425634,0.178861789,0.471066475,0.209947394,0.339072214,0.245815399,0.286465806,0.306551889,0.321377331,0.544715447,0.240076518,0.459110473,0.679579149,0.378287901,0.74748924,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.579148733,0.977522716,0.982305117,0.093735055,018b3908-ef64-4151-a6fd-f93d2a5ad0e8.Kinect,0,0.2188180518473081,-2.688955117866621,-2.8154325371791034
0.713592942,0.882352941,0.545193687,0.819703491,0.87613582,0.702534672,0.243902439,0.465327594,0.817312291,0.341941655,0.518890483,0.635581062,0.412721186,0.827355332,0.702534672,0.465327594,0.882352941,0.518890483,0.827355332,0.923481588,0.450980392,0.339072214,0.245815399,0.31181253,0.657101865,0.882352941,0.847919656,0.726924916,0.952175992,0.991869919,0.407460545,0.819225251,0.670970827,0.951697752,0.642276423,0.552845528,0.648971784,0.578192253,0.805356289,0.268770923,0.286944046,0.660927786,01966124-9992-4647-a3eb-249c60519687.Kinect,1,0.0520337797808836,1.6842578999426805,0.8516344940513416
0.442216055,0.955045433,0.792443807,0.346724055,0.895265423,0.295074127,0.969392635,0.318029651,0.822572932,0.754662841,0.50023912,0.666666667,0.095169775,0.178861789,0.295074127,0.318029651,0.955045433,0.50023912,0.178861789,0.471066475,0.736967958,0.920612147,0.901482544,0.903873745,0.739359158,0.536585366,0.544715447,0.100908656,0.459110473,0.284552846,0.489717838,0.950263032,0.973218556,0.656623625,0.642276423,0.552845528,0.648971784,0.81492109,0.308943089,0.227642276,0.151123864,0.643711143,01b1bc6c-d68e-43c3-8ba0-df5b90421ca0.Kinect,0,0.1616018627090745,-3.202313882532752,3.0044154286789064
0.01,0.923003348,0.978479197,0.601626016,0.597800096,0.695361071,0.710186514,0.696795791,0.887613582,0.156384505,0.985174558,0.635581062,0.343376375,0.992348159,0.695361071,0.696795791,0.923003348,0.985174558,0.992348159,0.471066475,0.967479675,0.591582975,0.706360593,0.960306074,0.987565758,0.851745576,0.734098517,0.584887614,0.510282162,0.780009565,0.703012912,0.441415591,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.886657102,0.658536585,0.702056432,0.675753228,0.799617408,01b6ceff-9cb8-47e4-ab1a-b3b6c7415b16.Kinect,1,0.1225614629481531,3.01231948441901,2.5689577064820845
0.459596505,0.848397896,0.444763271,0.913916786,0.416547107,0.801530368,0.596843615,0.779053085,0.796269727,0.883309421,0.464849354,0.958871353,0.363940698,0.453849833,0.801530368,0.779053085,0.848397896,0.464849354,0.453849833,0.798660928,0.981348637,0.339072214,0.245815399,0.286465806,0.306551889,0.321377331,0.544715447,0.092778575,0.755141081,0.596365375,0.99904352,0.441415591,0.670970827,0.656623625,0.642276423,0.552845528,0.648971784,0.578192253,0.421807747,0.846963176,0.900526064,0.781444285,01b77f99-07eb-48ac-a892-c4899dae97dd.Kinect,0,0.1003275243061994,-0.5900424991386158,0.7944501673976835
